track_id;track_name;duration_ms;album_name;album_type;artist_name;track_popularity;explicit;artist_genres;album_genres;acousticness;danceability;energy;instrumentalness;key;liveness;loudness;mode;speechness;tempo;time_signature;valence;played_at;date;datetime
5kD9rjzQh9ofsB8404jIpl;Lento/Veloce;199360;Il Mestiere Della Vita;album;Tiziano Ferro;54;FALSE;;;0.03200000;0.40500000;0.67200000;0.00000000;1;0.10900000;-4.341;1;0.18500000;84.901;4;0.70800000;2018-06-01T04:27:35.882Z;01/06/18;04:27:35
0xJEOihwWkNdZCVfM2XoeS;Tutto per una ragione (feat. Annalisa);178800;0+;album;Benji & Fede;59;FALSE;;;0.02790000;0.75300000;0.77500000;0.00000000;6;0.11000000;-5.97;1;0.08050000;100.074;4;0.64600000;2018-06-01T04:33:00.879Z;01/06/18;04:33:00
3KoUTYSRCUgleIybRyoC8C;Roma - Bangkok;174667;Kiss Kiss Bang Bang;album;Baby K;62;FALSE;italian arena pop, italian hip hop;;0.052600;0.764;0.857;0.000000;11;0.8810;-6.156;0;0.1810;100.03;4;0.353;2018-07-05T04:44:49.578Z;05/07/18;04:44:49
7vHshinTU8161w69EPbabY;Younger - Kygo Remix;351579;Pretend;album;Seinabo Sey;65;FALSE;swedish electropop, swedish soul, tropical house;;0.165000;0.686;0.474;0.000184;2;0.0809;-8.058;0;0.0810;113.961;4;0.615;2018-07-05T04:47:49.786Z;05/07/18;04:47:49
5nRDOsITlnO6fAEJBd8lef;Che fantastica storia Ã¨ la vita;358000;Che Fantastica Storia Ãˆ La Vita;album;Antonello Venditti;52;FALSE;classic italian pop, italian arena pop, italian pop;;0.077300;0.568;0.638;0.000004;9;0.1570;-6.311;1;0.0246;98.002;4;0.233;2018-06-28T04:48:22.990Z;28/06/18;04:48:22
6UXBFqtZdXzX4bkpqOPsDi;Rearrange;186456;Words I Never Said;album;Ella Vos;60;FALSE;electropop, indie electro-pop, indie poptimism, vapor soul;;0.298000;0.687;0.429;0.000320;10;0.1930;-6.524;1;0.0344;121.11;4;0.232;2018-07-05T04:49:34.648Z;05/07/18;04:49:34
4B4kunXhV2ZKnYcvDgAFoE;5AM;257907;5AM (Deluxe);album;Amber Run;62;FALSE;indie anthem-folk, indie folk, modern alternative rock;;0.244000;0.357;0.434;0.006540;0;0.0808;-11.521;1;0.0418;145.743;4;0.091;2018-07-05T04:50:52.277Z;05/07/18;04:50:52
4aai1PoVGPcspMhmzOzpZN;Surround Me;232120;Surround Me - EP;album;LÃ‰ON;66;FALSE;indie poptimism, neo mellow, pop;;0.344000;0.530;0.534;0.000000;5;0.0810;-7.87;1;0.1950;178.091;4;0.401;2018-07-05T04:51:23.710Z;05/07/18;04:51:23
6PvjNYQ0cWU5zOyb3HUm7U;Roadie;178547;Rize Of The Fenix;album;Tenacious D;52;TRUE;alternative metal, comedy rock, comic, post-grunge, rock;;0.152000;0.684;0.535;0.000000;9;0.1100;-5.789;1;0.0294;94.998;4;0.627;2018-06-30T04:52:23.363Z;30/06/18;04:52:23
7eB1V5LvAdxCc7brfGhRRo;watch;177523;dont smile at me;single;Billie Eilish;73;FALSE;electropop, pop;;0.309000;0.456;0.601;0.002080;0;0.1090;-8.961;1;0.2310;165.098;4;0.386;2018-07-05T04:54:08.838Z;05/07/18;04:54:08
21RzyxY3EFaxVy6K4RqaU9;Body;163216;Body;single;Loud Luxury;81;FALSE;edm, house, tropical house;;0.047600;0.752;0.764;0.000094;1;0.0543;-4.399;1;0.0380;121.958;4;0.582;2018-06-30T04:54:17.749Z;30/06/18;04:54:17
3WbphvawbMZ8FyqDxYGdSQ;When I'm Gone;260507;Away From The Sun;album;3 Doors Down;68;FALSE;alternative metal, nu metal, pop punk, pop rock, post-grunge, rap metal, rap rock;;0.004570;0.496;0.765;0.000000;7;0.1040;-5.66;1;0.0330;74.072;4;0.337;2018-07-05T04:55:16.075Z;05/07/18;04:55:16
19LRRuiMQ8a9jhqSf8jVip;El Party;211418;El Party;single;Jake La Furia;71;FALSE;italian arena pop, italian hip hop;;0.004790;0.677;0.805;0.000000;6;0.0592;-5.751;0;0.0363;123.994;4;0.540;2018-07-05T04:56:03.649Z;05/07/18;04:56:03
